RK,Team,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,3PR,3PRD,ADJ_T,WAB,SEED
150,Eastern Washington,BSky,33,14,113.1,112.1,.5264,53.7,54.9,17.7,16.2,31.3,30.8,36.1,37.3,53.6,56.3,35.9,35.2,34.7,39.0,67.8,-12.1,
151,Robert Morris,Horz,33,22,109.9,108.9,.5262,54.9,50.0,18.6,15.9,37.5,28.8,28.0,40.1,53.5,50.2,38.0,33.2,40.7,36.0,64.5,-6.7,
152,Rhode Island,A10,32,16,104.2,103.3,.5245,50.1,50.4,19.2,21.1,31.0,31.8,38.4,42.6,52.8,49.3,31.1,34.7,43.5,41.5,65.8,-9.5,
153,Bowling Green,MAC,32,18,106.0,105.2,.5226,51.8,51.0,16.5,18.4,28.7,26.9,37.0,37.2,51.9,51.6,34.4,33.5,34.2,41.2,68.2,-9.7,
154,St. Bonaventure,A10,34,17,113.1,112.4,.5196,52.4,53.3,16.8,17.1,34.5,29.8,30.0,33.9,50.8,52.8,37.4,36.0,31.3,40.7,67.1,-10.0,
155,Cornell,Ivy,28,15,119.8,119.1,.5170,58.5,55.9,16.0,15.1,30.2,30.6,30.2,37.2,59.7,55.7,38.3,37.5,51.6,38.3,71.4,-8.3,
156,Middle Tennessee,CUSA,32,17,109.7,109.1,.5154,51.6,51.0,17.1,15.0,30.7,28.5,32.7,35.7,52.3,51.0,33.8,33.9,45.3,35.3,65.5,-8.8,
157,Kent St.,MAC,33,24,110.6,110.0,.5151,51.9,52.1,18.1,16.4,35.8,29.6,44.3,39.8,51.0,51.9,35.3,34.9,45.0,42.7,70.6,-3.9,
158,Portland St.,BSky,31,20,103.1,102.6,.5137,50.6,48.8,16.9,18.0,30.0,26.4,37.1,42.8,51.5,49.0,32.6,32.3,34.4,39.7,67.8,-6.3,
159,Austin Peay,ASun,31,22,108.6,108.2,.5124,53.0,52.2,15.4,17.9,29.7,28.9,37.6,32.8,53.0,53.9,35.3,33.2,38.0,40.8,69.2,-5.3,
160,William & Mary,CAA,32,20,110.4,110.0,.5105,54.3,51.9,16.5,19.0,26.0,31.5,44.0,35.5,57.9,53.7,33.0,33.1,42.8,45.5,72.6,-7.1,
161,Georgia Tech,ACC,31,11,106.9,106.5,.5102,50.0,49.9,18.6,15.6,29.9,30.7,33.3,34.2,48.7,50.1,35.1,33.1,33.2,44.4,70.9,-9.7,
162,Valparaiso,MVC,33,18,107.5,107.2,.5095,47.6,50.5,15.7,16.9,32.5,30.1,39.1,35.1,45.8,51.9,33.9,32.1,36.8,37.0,65.1,-8.3,
163,Oregon St.,WCC,33,17,109.4,109.0,.5093,50.5,50.3,17.7,15.3,26.8,32.1,43.1,35.1,48.8,51.0,35.0,32.9,44.3,41.5,65.2,-7.5,
164,UC Davis,BW,33,19,107.0,106.7,.5078,51.8,51.7,17.9,19.8,25.2,30.5,40.5,39.1,51.9,52.4,34.4,33.8,43.5,38.1,68.9,-8.4,
165,Harvard,Ivy,29,17,105.4,105.2,.5063,53.2,50.4,17.4,17.1,26.8,28.2,25.7,26.6,54.0,51.4,34.7,32.6,40.2,38.7,63.1,-7.5,
166,Montana,BSky,34,18,107.2,107.0,.5050,55.8,50.5,19.6,14.3,20.7,29.6,36.8,32.6,56.5,51.9,36.6,32.3,41.8,38.0,69.5,-10.0,
167,Cal St. Northridge,BW,34,20,108.9,108.9,.5009,51.3,51.6,17.5,16.4,31.9,26.6,34.2,34.3,52.6,51.7,32.4,34.4,33.6,48.6,73.4,-8.2,
168,Richmond,A10,32,15,110.4,110.5,.4972,52.7,52.0,14.3,17.7,25.0,31.0,36.9,35.1,50.5,54.5,37.1,32.7,42.6,45.6,67.6,-10.9,
169,Western Kentucky,CUSA,32,18,108.0,108.2,.4950,47.5,51.2,14.5,17.2,31.8,29.5,41.2,46.8,45.8,51.0,33.4,34.3,39.4,42.3,69.9,-8.6,
170,Merrimack,MAAC,34,23,106.2,106.4,.4943,49.1,46.7,14.8,20.4,24.8,39.9,38.2,37.1,49.1,47.3,32.7,30.3,46.1,32.6,63.5,-6.3,
171,Monmouth,CAA,34,19,106.3,106.7,.4890,49.6,50.1,16.6,19.9,31.2,32.8,32.7,32.2,48.7,49.6,34.2,33.9,34.4,38.3,66.9,-10.0,
172,Charlotte,Amer,34,17,112.8,113.4,.4845,53.4,50.9,18.1,13.6,33.9,32.5,36.4,36.2,53.8,51.4,35.2,33.5,45.4,40.7,63.4,-10.2,
173,Winthrop,BSth,34,23,110.3,111.0,.4833,49.7,51.4,14.7,16.7,34.1,27.7,44.0,39.0,49.7,53.0,33.2,32.9,44.1,42.8,69.9,-5.6,
174,Massachusetts,MAC,33,17,109.9,110.6,.4810,53.1,52.9,17.8,16.8,33.3,26.1,37.0,44.6,53.2,55.4,35.2,33.0,35.4,42.7,70.2,-11.4,
175,Towson,CAA,34,19,104.1,104.9,.4786,46.5,48.5,15.9,15.1,36.0,29.1,30.4,29.3,47.8,50.0,29.4,30.9,34.9,41.4,63.4,-9.0,
176,FIU,CUSA,32,15,107.7,108.6,.4767,50.6,52.9,17.7,20.1,33.9,34.8,38.6,35.9,49.9,51.7,34.7,36.2,32.7,45.1,71.6,-11.5,
177,Fordham,A10,32,17,103.2,104.2,.4723,48.6,49.9,17.2,17.2,34.1,26.8,26.4,30.3,51.9,49.8,28.9,33.4,38.3,42.4,64.2,-9.4,
178,Oakland,Horz,32,16,113.8,115.0,.4704,52.7,54.7,14.7,15.1,31.3,34.4,38.1,24.6,53.0,57.0,34.7,34.3,34.0,41.7,70.0,-8.4,
179,Northern Kentucky,Horz,34,20,108.9,110.1,.4686,53.2,54.2,16.3,18.6,32.2,31.6,35.9,37.2,55.5,53.8,33.6,36.6,44.9,38.1,70.0,-9.6,
180,Green Bay,Horz,33,18,113.1,114.3,.4680,54.9,53.6,16.0,13.2,25.1,29.6,41.6,37.4,55.0,52.9,36.4,36.3,37.3,43.3,62.9,-9.7,
181,Texas A&M Corpus Chris,Slnd,33,18,104.0,105.3,.4666,49.5,50.1,19.4,19.0,31.7,28.8,41.1,46.3,48.1,51.5,35.0,31.6,31.4,34.9,65.9,-9.1,
182,UT Arlington,WAC,32,18,101.4,102.6,.4648,47.2,47.4,20.7,18.0,34.9,30.1,42.5,40.9,48.8,50.9,29.1,26.9,30.7,32.3,64.8,-8.1,
183,Utah Tech,WAC,34,19,111.2,112.7,.4625,53.3,50.9,17.6,16.9,28.1,34.5,30.6,33.0,53.7,53.5,35.0,30.7,38.2,34.4,66.4,-8.1,
184,Appalachian St.,SB,32,19,105.3,107.0,.4562,49.9,47.5,15.3,14.0,32.0,29.0,39.1,31.2,53.6,47.0,30.4,32.2,45.9,41.4,63.0,-9.2,
185,UMBC,AE,32,24,107.5,109.2,.4551,53.9,49.2,14.1,15.2,25.1,25.6,33.8,25.2,54.0,49.7,35.9,32.2,38.8,37.8,66.0,-5.1,
186,Siena,MAAC,34,23,107.2,108.9,.4548,50.6,48.6,16.0,17.1,31.9,29.0,34.2,27.2,52.8,48.2,30.4,32.8,31.9,39.3,64.6,-7.8,
187,Campbell,CAA,34,16,110.4,112.3,.4516,50.1,53.9,17.6,17.0,33.5,32.0,43.5,37.0,51.2,54.2,32.3,35.5,36.9,29.9,69.8,-11.0,
188,Detroit Mercy,Horz,32,17,108.8,110.7,.4516,49.5,52.2,16.0,14.4,33.3,30.8,32.6,37.6,48.1,53.8,35.1,33.3,30.7,42.6,68.8,-9.8,
189,Portland,WCC,34,15,106.3,108.1,.4511,51.2,52.7,19.7,17.0,28.1,32.5,34.4,32.6,54.7,51.4,29.9,36.1,35.4,45.6,68.5,-10.5,
190,Charleston,CAA,32,21,106.7,108.7,.4469,50.5,49.2,15.7,14.7,29.9,32.3,41.2,26.1,53.4,49.5,30.6,32.6,38.1,43.7,67.7,-6.3,
191,Youngstown St.,Horz,32,15,106.3,108.3,.4468,53.7,52.3,18.8,17.8,30.4,30.7,31.4,36.0,56.6,51.7,33.8,35.5,49.4,34.3,67.2,-12.6,
192,Louisiana Tech,CUSA,34,20,103.2,105.2,.4458,47.4,48.7,18.3,17.8,36.4,31.6,33.1,36.3,49.7,46.7,28.5,33.9,33.4,46.8,63.9,-9.3,
193,Cal St. Fullerton,BW,34,18,107.6,109.7,.4449,51.4,54.3,15.2,19.5,24.6,28.3,37.8,35.3,51.4,57.1,34.2,34.0,43.1,46.4,72.9,-9.4,
194,Furman,SC,34,22,106.9,109.0,.4441,54.8,50.1,17.8,13.7,31.0,27.5,32.1,28.9,59.0,50.9,33.3,32.6,46.3,41.9,65.8,-8.7,
195,New Mexico St.,CUSA,32,16,108.1,110.3,.4438,48.5,48.7,15.0,14.7,32.5,30.3,34.9,44.2,48.5,48.8,32.4,32.4,38.7,41.3,66.6,-11.4,
196,East Tennessee St.,SC,34,23,107.8,110.0,.4427,55.3,51.0,15.2,18.5,28.3,27.9,35.0,36.4,57.2,52.6,34.7,32.9,37.8,47.7,66.0,-7.4,
197,South Alabama,SB,32,21,107.1,109.3,.4426,52.7,50.0,13.2,18.2,25.2,31.3,39.2,25.3,53.3,50.9,34.5,33.0,36.6,64.3,64.6,-7.5,
198,Queens,ASun,34,21,114.6,117.1,.4396,56.6,54.0,14.8,15.0,30.4,33.0,36.3,38.7,59.0,54.1,35.9,35.8,46.8,39.5,69.5,-7.0,
199,Missouri St.,CUSA,34,16,109.3,111.7,.4392,51.1,52.0,16.7,16.9,32.0,32.1,43.8,40.2,52.2,52.3,33.0,34.4,41.3,35.8,65.3,-13.0,
200,New Orleans,Slnd,33,15,108.7,111.1,.4359,49.6,49.0,20.5,14.9,35.6,34.5,46.4,39.5,50.6,49.3,31.8,32.4,33.7,40.2,69.8,-10.6,
201,Drexel,CAA,33,17,102.6,105.1,.4320,50.7,47.1,19.0,16.4,31.2,31.0,31.6,35.4,49.0,47.9,35.5,30.3,40.0,34.1,64.2,-11.8,
202,Tulane,Amer,33,18,107.4,110.0,.4319,49.4,50.7,15.4,17.1,22.8,35.8,43.5,38.1,50.5,50.0,32.0,34.5,45.0,40.5,66.8,-9.1,
203,Weber St.,BSky,32,16,111.1,113.8,.4301,51.7,54.5,15.7,16.3,31.8,27.7,39.2,36.4,51.6,57.1,34.5,33.5,32.8,38.8,68.5,-10.6,
204,Jacksonville St.,CUSA,32,15,105.3,108.0,.4290,49.7,49.6,17.0,16.2,29.8,28.0,43.1,38.7,47.4,49.3,35.7,33.3,38.1,42.9,65.1,-12.9,
205,Indiana St.,MVC,32,11,105.9,108.8,.4247,52.8,50.2,19.5,14.9,26.2,31.8,27.4,28.8,57.4,52.0,31.5,31.3,45.2,34.4,68.2,-14.7,
206,Howard,MEAC,33,23,103.4,106.2,.4239,50.6,47.4,19.8,21.3,36.6,32.0,44.2,38.3,49.9,48.3,34.7,30.4,34.3,34.0,69.0,-6.9,
207,Columbia,Ivy,28,16,107.9,110.8,.4232,53.5,51.2,19.3,15.0,36.1,27.2,28.6,33.5,53.2,50.3,35.9,35.2,37.5,36.0,66.8,-7.8,
208,Marist,MAAC,31,19,99.6,102.4,.4195,49.3,45.6,16.9,19.5,29.1,28.3,25.7,37.6,49.8,47.1,32.2,28.6,34.6,36.8,66.2,-9.3,
209,Mercer,SC,32,19,110.8,114.0,.4174,53.1,52.5,15.0,17.0,32.6,33.2,39.2,29.7,53.0,51.3,35.6,36.2,39.2,42.1,68.9,-8.5,
210,James Madison,SB,33,18,109.0,112.4,.4147,53.1,49.0,17.3,12.8,30.6,29.5,35.9,40.8,53.2,48.9,35.4,32.7,42.5,38.2,66.0,-10.4,
211,Rice,Amer,31,13,109.0,112.6,.4080,48.5,51.0,17.9,15.7,35.3,34.6,33.9,40.4,46.2,51.0,34.3,34.0,44.1,35.5,65.6,-12.3,
