RK,Team,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,3PR,3PRD,ADJ_T,WAB,SEED
255,Abilene Christian,WAC,33,14,99.8,107.1,.3096,47.5,56.5,20.8,23.4,31.0,29.1,41.7,53.5,48.0,54.4,31.0,40.9,32.8,30.0,67.4,-12.7,
256,UNC Asheville,BSth,32,15,103.7,111.3,.3082,51.0,51.3,17.4,15.5,29.8,31.3,40.0,38.7,50.1,52.8,35.1,32.6,33.6,38.4,64.8,-12.7,
257,Vermont,AE,34,22,104.8,112.4,.3078,53.1,50.4,14.3,14.8,26.2,23.0,31.1,36.4,55.7,48.6,33.3,35.3,44.6,41.2,64.7,-9.4,
258,Fairfield,MAAC,34,21,105.4,113.1,.3071,48.8,51.0,15.3,16.8,35.8,29.1,27.7,30.4,48.2,50.8,33.2,34.3,35.4,35.9,67.0,-9.9,
259,East Carolina,Amer,31,11,103.6,111.2,.3060,46.4,52.3,17.1,16.2,33.4,32.5,39.2,32.2,47.5,52.2,29.3,34.9,31.1,38.8,68.6,-13.8,
260,Idaho St.,BSky,33,13,108.8,116.9,.3034,51.8,54.5,17.0,14.7,32.8,27.9,37.9,38.0,52.9,56.1,33.6,34.5,41.9,37.0,65.2,-14.1,
261,SIU Edwardsville,OVC,32,19,98.9,106.3,.3022,49.5,45.6,17.9,17.0,30.1,31.6,30.6,34.3,47.8,45.8,35.0,30.2,36.2,38.4,64.4,-10.6,
262,Southern Utah,WAC,32,10,106.3,114.5,.3000,50.7,53.2,20.3,14.8,28.8,33.6,33.1,29.8,51.4,51.7,33.0,38.0,35.5,29.5,70.4,-15.6,
263,Tennessee Martin,OVC,33,22,97.9,105.5,.2982,48.7,46.1,21.4,20.0,37.0,32.0,37.4,35.8,51.5,46.7,30.3,30.2,47.1,39.5,64.3,-8.0,
264,Elon,CAA,32,14,108.0,116.4,.2974,52.2,54.0,15.9,16.4,32.2,33.5,33.5,34.6,52.8,53.3,34.3,36.5,43.2,44.5,66.8,-13.2,
265,Purdue Fort Wayne,Horz,32,17,104.9,113.3,.2922,52.6,56.1,14.5,19.1,22.9,34.5,30.6,28.5,53.7,55.5,34.2,37.9,45.3,44.1,67.7,-9.3,
266,Sacramento St.,BSky,31,10,105.5,114.1,.2899,47.0,55.0,14.1,17.1,25.2,33.4,41.2,36.2,46.6,56.8,31.9,35.2,35.6,43.7,71.6,-14.7,
267,North Dakota,Sum,35,18,106.7,115.4,.2896,49.4,56.5,14.1,19.4,27.4,32.4,37.8,43.8,49.7,57.2,32.7,37.1,40.6,42.9,67.3,-11.3,
268,Wofford,SC,32,19,108.1,117.0,.2878,52.5,53.8,13.4,14.9,29.8,29.0,36.2,36.8,52.5,53.4,35.0,36.4,43.1,38.0,67.8,-9.5,
269,Longwood,BSth,32,16,103.0,111.7,.2829,49.7,53.8,19.1,19.8,34.6,27.7,41.3,42.1,51.1,56.1,31.4,33.8,34.8,42.6,68.5,-12.7,
270,UTEP,CUSA,31,11,101.1,109.7,.2821,48.3,51.5,17.4,18.0,26.2,32.8,33.4,42.0,46.5,51.9,33.9,34.0,40.3,37.5,65.2,-14.8,
271,Dartmouth,Ivy,27,11,104.6,113.4,.2818,51.8,52.7,17.6,13.8,23.7,29.7,38.0,30.7,49.4,53.2,36.1,34.6,48.7,39.2,69.5,-11.6,
272,Lindenwood,OVC,33,18,100.2,108.7,.2807,48.0,49.1,18.7,18.4,33.2,31.8,38.6,37.4,49.6,49.4,29.4,32.4,30.7,32.9,72.4,-11.2,
273,Milwaukee,Horz,32,12,106.0,115.2,.2783,49.9,55.5,15.2,15.8,33.0,29.2,32.1,35.9,50.8,56.0,32.3,36.5,38.1,40.2,67.6,-13.6,
274,Incarnate Word,Slnd,31,12,108.5,118.0,.2758,50.2,54.5,17.2,15.7,32.1,32.0,34.0,41.6,47.7,56.0,36.1,34.4,39.1,35.4,65.5,-13.8,
275,Loyola Chicago,A10,33,9,103.2,112.3,.2751,49.8,52.0,19.8,12.9,30.5,29.7,34.8,33.6,51.9,49.5,31.7,36.8,47.7,44.3,65.8,-16.0,
276,Delaware,CUSA,31,10,105.6,115.1,.2723,53.3,51.5,18.2,14.0,20.8,31.1,30.6,30.2,51.7,50.6,36.8,35.1,46.2,43.4,63.1,-16.1,
277,South Dakota,Sum,32,16,104.4,113.8,.2687,49.9,54.5,16.6,15.9,28.7,30.3,45.2,31.0,50.7,55.7,32.3,34.5,35.9,30.0,70.0,-11.6,
278,Mount St. Mary's,MAAC,32,15,99.1,108.3,.2669,50.6,47.2,22.4,15.3,32.3,29.1,33.3,37.3,51.8,46.2,32.7,32.3,42.6,44.9,67.8,-12.5,
279,Ball St.,MAC,31,12,99.0,108.3,.2638,47.0,52.7,16.2,18.7,27.1,31.0,31.6,32.1,47.0,53.0,31.4,34.8,39.4,41.2,63.6,-14.6,
280,Western Michigan,MAC,31,10,107.1,117.5,.2570,49.9,54.4,16.9,13.4,30.5,29.1,32.8,37.5,48.1,54.5,35.3,36.1,36.1,43.7,67.8,-15.4,
281,Prairie View A&M,SWAC,35,18,101.4,111.4,.2540,47.9,50.4,16.0,19.1,27.1,34.8,42.8,43.9,47.0,49.4,33.2,35.0,30.9,32.7,70.9,-12.5,
282,Presbyterian,BSth,33,15,102.5,112.5,.2536,51.0,51.2,19.3,15.7,33.1,30.6,39.3,37.1,52.3,50.6,31.6,34.7,28.0,36.3,64.2,-13.7,
283,Lehigh,Pat,34,18,102.6,112.8,.2516,53.3,50.6,17.5,16.3,22.8,31.7,32.2,32.8,52.4,51.2,36.5,32.8,38.2,32.2,66.9,-12.0,
284,Mercyhurst,NEC,34,17,101.3,111.5,.2499,49.5,50.1,14.3,18.7,26.4,29.9,25.6,42.6,50.0,51.0,32.1,32.3,31.1,33.6,64.6,-13.3,
285,Jacksonville,ASun,32,12,103.4,113.8,.2487,50.0,54.8,17.2,15.0,31.7,29.1,32.8,42.7,51.5,55.0,31.7,36.3,37.4,35.2,63.5,-14.9,
286,Louisiana,SB,33,11,101.6,111.8,.2483,47.1,52.6,16.8,18.3,28.3,32.3,28.7,45.8,44.8,52.2,33.6,35.6,40.5,36.2,63.3,-17.0,
287,Arkansas Pine Bluff,SWAC,32,13,104.9,115.8,.2429,50.0,52.6,18.7,16.5,27.9,34.2,38.4,43.6,49.8,54.4,33.6,33.2,37.2,37.3,69.3,-12.9,
288,UNC Greensboro,SC,34,15,107.8,119.1,.2426,52.0,56.2,15.0,13.7,28.1,29.0,42.0,30.6,51.0,55.6,35.6,38.0,40.2,46.6,67.7,-15.2,
289,Brown,Ivy,27,9,97.8,107.9,.2423,48.6,51.3,19.5,18.7,29.0,30.0,28.1,37.6,50.4,52.2,30.3,33.5,36.3,43.0,66.7,-14.5,
290,Morehead St.,OVC,33,20,106.4,117.7,.2386,49.2,50.2,18.0,15.4,35.8,35.8,37.7,35.6,49.7,49.1,32.0,34.5,30.5,39.0,65.3,-9.1,
291,IU Indy,Horz,32,7,106.2,117.5,.2380,52.2,58.2,15.9,19.2,28.7,35.6,21.7,46.6,54.8,58.4,32.4,38.5,42.1,35.7,73.7,-20.0,
292,Florida A&M,SWAC,31,15,98.8,109.4,.2369,49.2,51.2,21.5,19.1,30.9,30.9,37.4,39.6,49.4,50.6,32.6,34.9,37.7,34.4,68.0,-11.8,
293,Northeastern,CAA,31,7,107.0,118.5,.2349,52.4,56.4,16.4,16.8,27.3,30.2,29.4,41.9,53.6,57.8,33.7,35.8,37.8,35.2,69.7,-19.2,
294,East Texas A&M,Slnd,32,11,100.6,111.5,.2349,49.2,52.9,19.2,17.0,25.7,32.8,32.0,34.5,51.2,51.0,31.3,37.3,46.2,38.0,68.4,-15.0,
295,Southeastern Louisiana,Slnd,31,9,99.3,110.1,.2339,46.7,52.4,18.4,19.1,28.6,31.4,40.3,41.2,49.4,51.4,28.4,36.0,39.5,37.9,65.4,-16.5,
296,West Georgia,ASun,32,15,102.1,113.2,.2338,49.6,53.4,15.9,14.7,31.5,29.0,29.2,36.9,49.6,55.7,33.1,33.1,33.0,37.4,69.1,-12.5,
297,Sacred Heart,MAAC,33,14,106.8,118.6,.2313,52.0,53.5,17.7,14.5,28.6,30.9,31.0,27.0,50.4,54.4,35.7,34.8,50.7,43.5,68.4,-15.3,
298,Bellarmine,ASun,32,13,114.9,127.8,.2286,59.4,59.4,15.5,15.0,22.4,34.2,35.0,34.3,61.0,58.1,38.1,40.4,41.2,50.5,64.6,-14.4,
299,Eastern Kentucky,ASun,32,11,108.6,120.9,.2254,52.1,56.1,16.9,14.8,32.5,31.7,30.7,38.5,51.6,57.4,35.0,36.2,50.8,41.6,67.2,-16.5,
300,Grambling St.,SWAC,33,14,96.3,107.3,.2244,48.8,50.0,21.2,20.8,30.3,32.5,41.1,40.0,48.9,50.5,32.3,32.7,38.1,35.2,67.5,-14.9,
301,Oral Roberts,Sum,33,10,102.3,114.0,.2234,49.7,53.6,18.5,14.7,28.4,31.8,34.8,39.1,51.1,52.2,32.0,37.4,45.6,36.6,67.7,-17.6,
302,Evansville,MVC,32,7,102.3,114.3,.2190,49.3,55.1,19.1,15.4,22.0,30.2,29.8,31.4,49.9,54.0,32.2,37.6,43.1,43.2,66.9,-17.7,
303,USC Upstate,BSth,32,13,99.1,110.8,.2164,48.3,51.0,18.2,16.4,29.2,31.4,32.8,36.0,48.9,49.5,31.4,35.6,35.6,36.1,67.6,-14.3,
304,Hampton,CAA,32,13,100.6,112.6,.2151,45.7,52.0,17.0,17.2,32.9,30.0,39.2,46.5,47.1,54.0,28.8,32.1,37.1,33.6,65.4,-14.6,
305,Northwestern St.,Slnd,32,10,100.7,112.7,.2142,48.6,53.0,18.3,16.9,26.1,32.6,40.1,36.3,48.0,52.9,33.2,35.5,33.9,37.9,64.8,-16.3,
306,Texas Southern,SWAC,30,12,102.1,114.3,.2141,49.7,52.5,18.5,16.5,28.8,31.2,38.2,44.0,49.8,53.5,33.1,34.1,32.5,43.2,68.7,-13.0,
307,Alabama A&M,SWAC,33,18,104.3,116.8,.2136,49.2,52.1,16.5,16.6,27.5,29.5,45.4,38.6,47.5,51.5,35.0,35.4,34.0,36.5,65.2,-11.6,
308,Alabama St.,SWAC,32,10,99.7,111.7,.2120,47.1,52.2,18.3,18.7,31.9,31.5,34.9,42.3,46.8,52.8,31.8,34.2,38.5,40.4,69.3,-16.6,
309,Houston Christian,Slnd,32,12,101.6,113.9,.2120,49.7,54.2,18.9,17.6,29.9,32.5,36.0,30.7,50.9,55.3,31.7,35.0,36.5,37.4,64.1,-14.9,
310,Stetson,ASun,33,12,105.1,117.8,.2117,53.1,55.2,18.1,15.1,26.6,31.8,32.4,30.4,52.5,57.6,36.0,34.6,44.7,41.1,66.8,-15.9,
311,North Carolina A&T,CAA,30,11,104.4,117.2,.2094,50.7,52.9,18.6,14.1,31.7,28.6,42.3,37.5,52.3,51.7,31.6,36.6,32.7,38.1,68.5,-15.2,
312,Chattanooga,SC,32,13,105.3,118.3,.2065,54.2,51.7,14.4,13.2,21.8,31.7,29.7,42.6,55.8,52.1,35.0,34.2,49.2,44.2,67.0,-15.4,
313,Central Connecticut,NEC,30,18,104.5,117.5,.2063,51.6,50.2,16.2,14.0,27.5,30.4,31.2,26.9,50.5,50.3,35.8,33.4,34.9,39.3,64.8,-9.4,
314,Cleveland St.,Horz,33,11,109.7,123.5,.2027,54.2,57.2,17.8,15.1,27.0,36.6,37.9,35.5,52.0,59.5,37.5,36.2,50.8,44.0,69.6,-16.9,
315,Le Moyne,NEC,32,15,100.7,113.5,.2025,52.7,49.3,19.1,15.0,25.2,29.1,39.5,32.7,53.5,46.1,34.3,36.0,40.8,39.7,69.5,-13.8,
316,Georgia St.,SB,32,10,99.3,112.0,.2005,44.2,50.6,15.9,16.4,27.7,33.6,37.2,34.9,42.9,51.2,30.6,33.1,42.4,39.0,67.9,-17.7,
317,Wagner,NEC,31,14,102.0,115.1,.1984,49.6,50.4,18.5,14.9,32.8,29.6,32.3,40.8,46.6,49.9,36.6,34.3,36.1,35.8,65.5,-13.5,
318,Northern Arizona,BSky,32,10,105.7,119.3,.1983,51.7,56.9,16.0,16.6,23.3,33.4,31.8,32.7,50.7,56.1,35.6,38.7,36.7,40.0,63.8,-16.7,
319,Albany,AE,32,11,103.4,117.9,.1816,51.3,53.2,18.5,15.8,32.7,32.4,24.9,35.7,52.8,52.7,32.6,36.0,37.6,40.6,65.3,-17.4,
320,UMass Lowell,AE,33,15,102.6,117.1,.1799,49.8,53.5,18.0,14.2,32.7,29.4,34.9,28.3,50.5,54.4,32.2,34.6,31.3,35.0,69.3,-13.7,
321,Lafayette,Pat,32,11,100.4,115.4,.1685,49.3,53.6,15.3,15.1,25.8,28.6,32.4,30.6,50.0,53.4,32.2,36.0,39.8,38.0,66.8,-17.1,
322,NJIT,AE,33,16,97.3,112.1,.1653,46.7,50.0,17.1,16.2,26.2,32.1,33.2,37.9,47.5,51.1,30.4,32.3,40.1,40.7,68.0,-12.4,
323,Tennessee Tech,OVC,31,13,101.8,117.2,.1640,48.9,51.5,19.1,15.1,31.3,30.7,35.5,31.3,50.1,50.3,31.1,35.8,36.5,36.1,67.0,-14.6,
324,Cal St. Bakersfield,BW,32,8,101.7,117.3,.1618,45.7,54.0,18.9,17.9,30.4,35.6,42.2,42.6,46.6,53.9,29.0,36.0,28.9,39.0,70.0,-18.1,
325,Loyola MD,Pat,32,12,103.5,119.4,.1617,50.4,54.7,15.5,15.3,27.6,29.0,29.9,32.7,51.9,58.3,32.6,32.8,47.2,39.6,68.2,-16.8,
326,Bucknell,Pat,33,10,98.8,114.1,.1604,48.5,54.7,19.0,17.9,27.0,31.3,29.8,35.3,50.4,54.1,30.6,37.0,42.7,45.7,67.0,-18.2,
327,Little Rock,OVC,32,12,101.1,116.8,.1597,49.4,51.8,18.4,18.5,31.5,36.6,27.7,33.1,47.9,51.9,35.3,34.4,31.0,40.3,66.5,-16.4,
328,North Florida,ASun,32,7,106.9,123.8,.1566,52.9,56.3,17.9,12.7,25.2,37.6,28.8,31.4,53.4,58.7,35.0,35.1,51.7,39.0,70.5,-19.0,
329,New Haven,NEC,31,14,96.0,111.6,.1503,48.7,51.8,17.8,17.1,21.5,26.8,31.7,27.7,51.0,52.1,30.2,34.3,39.8,38.4,63.4,-13.1,
330,Eastern Illinois,OVC,33,13,96.7,112.6,.1471,45.7,50.8,18.6,19.3,28.2,35.2,33.5,35.3,44.9,53.1,31.7,31.7,29.9,41.2,65.6,-15.2,
331,Norfolk St.,MEAC,32,15,101.1,118.3,.1416,49.3,51.7,18.7,18.8,32.5,32.3,43.5,45.3,48.4,54.4,34.2,32.0,30.6,41.6,68.1,-13.4,
332,Jackson St.,SWAC,33,12,100.9,118.2,.1398,45.7,53.0,19.4,16.5,29.7,37.2,37.4,41.9,44.6,53.5,31.4,34.8,43.3,39.7,69.6,-14.0,
333,Holy Cross,Pat,33,11,100.7,117.9,.1397,49.8,54.8,15.3,14.1,21.9,27.0,31.5,27.6,50.4,57.2,32.5,34.0,37.3,39.0,65.4,-18.2,
334,Manhattan,MAAC,32,12,103.6,121.6,.1356,47.9,53.9,15.6,16.7,28.6,37.0,34.0,25.7,47.8,53.3,32.0,36.6,37.1,38.0,68.0,-16.3,
335,Niagara,MAAC,30,8,99.9,117.3,.1354,50.5,52.8,18.9,16.6,24.8,32.9,26.6,33.8,50.5,52.7,33.7,35.3,40.5,40.4,62.2,-18.3,
336,UTSA,Amer,30,5,100.5,118.1,.1344,44.8,53.3,17.5,14.7,30.2,38.7,29.5,33.3,45.5,53.8,29.2,35.1,41.3,43.3,68.6,-18.7,
337,Stonehill,NEC,33,12,92.0,108.4,.1319,46.9,47.8,19.4,13.4,27.5,27.1,27.3,30.3,46.5,46.7,31.7,33.4,40.5,32.4,66.4,-17.6,
338,North Alabama,ASun,30,9,99.9,118.0,.1281,48.0,55.2,17.5,14.5,31.2,32.2,37.6,30.3,49.1,56.5,30.7,35.7,33.7,43.3,64.8,-17.1,
339,Fairleigh Dickinson,NEC,32,11,100.6,119.0,.1264,47.1,55.2,18.1,16.1,32.0,27.3,32.8,36.3,48.6,54.1,30.3,37.8,45.2,40.5,64.0,-16.7,
340,Chicago St.,NEC,32,7,99.9,118.7,.1211,45.3,56.7,15.6,20.1,28.3,35.0,30.0,38.0,44.0,60.0,32.1,35.6,30.9,50.8,65.6,-19.3,
341,Northern Illinois,MAC,30,9,95.7,113.7,.1209,47.6,55.6,21.8,16.3,30.3,30.0,38.3,38.3,48.5,56.3,30.9,36.3,45.0,37.7,67.5,-15.4,
342,Army,Pat,32,11,99.7,118.5,.1207,49.3,55.1,17.2,15.4,29.6,27.7,26.8,39.6,50.7,56.4,32.0,35.6,53.3,41.7,67.2,-17.4,
343,Air Force,MWC,32,3,95.9,114.0,.1200,48.9,56.4,21.9,15.1,21.4,31.3,35.1,36.6,51.1,56.3,30.6,37.6,41.8,38.8,66.3,-20.3,
344,Alcorn St.,SWAC,32,9,97.2,115.7,.1190,47.7,55.0,19.6,18.1,26.9,35.5,31.8,39.4,46.5,58.0,33.3,33.0,33.7,35.1,67.9,-16.4,
345,Canisius,MAAC,31,10,95.6,114.0,.1163,46.3,52.2,19.6,16.0,29.3,29.8,31.4,35.2,44.0,54.3,33.3,33.0,39.5,44.0,64.1,-17.6,
346,Southern Indiana,OVC,30,7,95.9,114.5,.1150,43.7,49.4,17.2,16.4,31.4,33.8,37.2,36.2,43.0,48.7,29.9,34.1,39.7,27.1,67.7,-20.4,
347,The Citadel,SC,33,11,100.0,120.6,.1037,49.5,57.5,16.3,14.7,27.9,31.5,30.0,33.3,51.0,59.6,32.0,36.6,47.8,44.1,64.2,-18.5,
348,Louisiana Monroe,SB,32,4,101.1,122.3,.1007,47.8,57.1,16.9,15.7,25.1,35.4,38.8,27.7,47.4,58.4,32.2,36.9,41.9,42.3,70.2,-23.2,
349,Maine,AE,32,8,92.2,111.9,.0983,49.6,50.6,19.1,19.4,19.7,34.3,38.4,33.9,51.2,54.5,31.2,29.3,37.0,36.8,64.7,-20.6,
350,New Hampshire,AE,30,9,95.6,116.2,.0958,46.7,53.4,16.5,15.8,25.7,26.9,28.5,35.8,47.4,54.6,30.5,34.3,43.1,36.9,67.4,-16.4,
351,Saint Francis,NEC,31,7,100.5,122.4,.0940,48.9,58.9,18.4,18.4,27.5,33.1,30.8,38.3,47.5,60.1,34.2,38.1,37.8,40.9,70.0,-19.4,
352,North Carolina Central,MEAC,32,14,100.2,123.0,.0866,47.5,54.5,18.1,19.9,30.0,39.4,39.3,36.9,46.7,54.5,32.6,36.4,33.9,40.6,65.7,-13.1,
353,South Carolina St.,MEAC,32,10,95.4,117.4,.0846,46.8,53.9,20.8,18.8,31.4,37.6,41.1,51.9,44.8,56.3,34.0,33.5,33.3,38.9,68.8,-17.4,
354,Morgan St.,MEAC,30,14,98.8,121.6,.0845,45.8,51.7,17.8,16.5,30.7,35.2,42.7,50.9,44.9,53.7,31.7,31.5,35.2,31.9,70.5,-13.1,
355,Bryant,AE,31,9,96.7,120.1,.0760,46.9,52.7,20.2,14.6,27.7,31.0,29.4,33.5,48.7,51.8,30.0,36.3,47.9,35.8,64.2,-17.9,
356,Maryland Eastern Shore,MEAC,32,9,93.1,116.4,.0711,47.8,50.7,23.8,17.9,32.4,33.6,29.5,43.0,49.9,51.1,29.0,33.5,33.5,39.7,63.3,-17.7,
357,Binghamton,AE,31,8,98.4,123.0,.0711,50.0,54.3,18.8,13.3,20.9,29.4,41.5,34.6,50.6,54.7,32.5,35.8,30.9,39.2,65.5,-20.4,
358,Rider,MAAC,29,4,96.4,120.6,.0704,42.8,55.2,16.9,15.3,32.6,32.8,30.1,32.5,43.3,54.0,27.7,37.9,27.5,39.9,65.7,-19.7,
359,UMKC,Sum,31,4,93.2,117.5,.0652,45.7,56.3,18.2,16.4,26.4,35.9,29.2,31.4,47.6,56.2,28.4,37.6,36.8,39.0,69.7,-21.5,
360,VMI,SC,32,6,98.7,124.5,.0649,47.6,57.0,15.3,15.7,25.6,37.2,30.6,34.6,47.9,58.9,31.5,36.5,53.6,46.5,66.8,-22.3,
361,Gardner Webb,BSth,33,4,95.4,122.1,.0553,47.8,56.9,19.8,15.3,23.2,36.6,30.3,35.2,48.6,59.0,31.0,36.0,39.8,41.0,69.6,-23.2,
362,Delaware St.,MEAC,31,8,88.3,114.5,.0484,42.9,52.9,19.9,19.5,27.7,32.0,34.1,40.5,43.1,54.8,28.4,33.0,28.9,34.7,65.5,-19.7,
363,Coppin St.,MEAC,31,7,91.7,119.5,.0453,45.9,55.4,22.3,17.5,30.4,34.8,38.5,42.9,45.8,53.9,30.7,38.3,35.2,43.2,68.6,-19.2,
364,Mississippi Valley St.,SWAC,33,3,91.1,120.9,.0370,45.2,55.5,21.9,17.1,26.4,35.5,33.9,50.8,45.6,55.3,29.5,37.2,30.2,42.5,67.2,-24.8,
365,Western Illinois,OVC,31,5,92.8,123.4,.0365,44.5,54.2,17.5,14.9,27.0,34.8,37.7,34.8,43.5,54.6,30.9,35.6,33.3,34.6,66.5,-23.0,
